Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-colossos-of-rhodes-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106067,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6078f087-ccd3-4696-8797-d085d06a9eac.jpg?v=1578629124,1,"The Colossos of Rhodes, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
a-capriccio-view-of-venice-with-the-bucintoro-vintage-artwork-by-louis-de-caullery-12x8-a4-poster,"A capriccio view of Venice with the Bucintoro, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106066,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_48dbed75-d3a8-4a8f-bc45-0d6ae85663e3.jpg?v=1578629124,1,"A capriccio view of Venice with the Bucintoro, vintage artwork by Louis de Caullery, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
three-dishes-of-sweetmeats-and-chestnuts-with-three-glasses-on-a-table-vintage-artwork-by-osias-beert-12x8-a4-poster,"Three Dishes of Sweetmeats and Chestnuts with Three Glasses on a Table., vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106065,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_95e7ffb6-fccd-43e6-a2de-0a0e6c35bb89.jpg?v=1578629124,1,"Three Dishes of Sweetmeats and Chestnuts with Three Glasses on a Table., vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
still-life-with-roses-in-an-asian-bowl-with-a-butterfly-and-dragonfly-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still life with roses in an Asian bowl with a butterfly and dragonfly, vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106064,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_7e1d7add-027a-4892-bf57-e9bef5f0f509.jpg?v=1578629124,1,"Still life with roses in an Asian bowl with a butterfly and dragonfly, vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
still-life-with-monkey-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still-life with Monkey, vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106061,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_2d237ea5-ae01-4175-bf25-c1f6f8892d8e.jpg?v=1578629123,1,"Still-life with Monkey, vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
still-life-with-fruit-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still-Life with Fruit, vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106060,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_ae9099d5-7e61-40dc-8a02-8521f64663ad.jpg?v=1578629123,1,"Still-Life with Fruit, vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still life with fruits, nuts, bread, two wine glasses and a knife, vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106059,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6f9524da-cd3d-4080-b5d4-bbf6ed9a893f.jpg?v=1578629123,1,"Still life with fruits, nuts, bread, two wine glasses and a knife, vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still life with flowers in a wicker basket and bunch of flowers in a porcelain vase, vintage artwork by Osias Beert, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106058,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_65fc5ca9-9468-4e30-aad8-f6ef5909bd21.jpg?v=1578629123,1,"Still life with flowers in a wicker basket and bunch of flowers in a porcelain vase, vintage artwork by Osias Beert, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"Madonna and Child adored by  St Lawrence and St Martha, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106057,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_34a42377-1e8b-45e4-bd5f-e95530ddd81e.jpg?v=1578629123,1,"Madonna and Child adored by  St Lawrence and St Martha, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
a-lady-at-the-fishmarket-in-antwerp-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"A lady at the fishmarket in Antwerp, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106056,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_9430ead4-e954-494a-a47a-9f749d01c922.jpg?v=1578629123,1,"A lady at the fishmarket in Antwerp, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
pastor-robert-hubar-on-his-deathbed-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"Pastor Robert Hubar on his deathbed, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106055,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_ed59c40c-df7b-488f-a7bc-e89f74148de3.jpg?v=1578629123,1,"Pastor Robert Hubar on his deathbed, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
crossing-of-the-red-sea-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"Crossing of the Red Sea, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106054,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_289ae8d0-5f42-4f46-86a9-cdd677874b3a.jpg?v=1578629123,1,"Crossing of the Red Sea, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
christ-appears-to-the-repentant-sinners-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"Christ appears to the repentant sinners, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106053,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_716505f9-ad94-48d1-8921-56a01392942e.jpg?v=1578629123,1,"Christ appears to the repentant sinners, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
the-ball-at-the-court-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"The Ball at the Court, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106052,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_84edef01-b36d-4739-b863-ed71c1c7afe2.jpg?v=1578629123,1,"The Ball at the Court, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
the-ball-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"The Ball, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster","<div style=""text-align: left;""><span><strong>Beautiful fine art giclee poster print, A4 size</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>Dispatched through Royal Mail, 3 -5 working days UK,  4-10 working days worldwide.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;""><span><strong>You can return any item for any reason for up to 30 days after you receive it. Full refund given immediately upon return.  Unless you have simply changed your mind, we will also pay for the cost of returning it to us.</strong></span></div><div style=""text-align: left;""><span><strong><br></strong></span></div><div style=""text-align: left;"">
<span><strong>Payment via Paypal, Credit/Debit Card or Bank Transfer</strong><br><br></span><span>A4 Details. <br><img alt=""A4 Poster Reproduction of Classic Image,Overall Dimensions of this Poster are 420x297mm (16.5x11.7 inches),Fast Worldwide Shipping"" src=""//cdn.shopify.com/s/files/1/2376/0573/files/a4long_2048x2048.jpg?v=1552551898"" style=""float: none;""></span>
</div>",Period Prints,,Poster,Poster,TRUE,Title,Default Title,,,,,skuarttA4106051,0,,continue,manual,9.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_33e87519-7894-4476-8fb1-b8b6793856c8.jpg?v=1578629123,1,"The Ball, vintage artwork by Maarten Pepyn, 12x8"" (A4) Poster",FALSE,,,500044,,,,,,new,,,,,,,,lb,,9.99,active
